user_id,session_id,event_time,event_type,product_id,sales_amount,device_type,channel,user_signup_date,session_duration,product_category,discount_applied,acquisition_cost,traffic_source,payment_method,user_segment,test_group,gender,age,city,membership_type,product_rating,product_review,in_stock
user_1,session_29886,04/03/24 00:00,login,,,Desktop,Organic,05/04/23,228,,,14.47,Referral,,high_value,test,Other,59,Hyderabad,Silver,,,
user_1,session_29886,04/03/24 00:18,home,prod_14,,Desktop,Organic,05/04/23,228,Electronics,FALSE,14.47,Referral,UPI,high_value,test,Other,59,Hyderabad,Silver,,,FALSE
user_1,session_29886,04/03/24 00:24,view_product,prod_94,,Desktop,Organic,05/04/23,228,Home,FALSE,14.47,Referral,Net Banking,high_value,test,Other,59,Hyderabad,Silver,,,TRUE
user_1,session_29886,04/03/24 01:04,add_to_cart,prod_79,,Desktop,Organic,05/04/23,228,Beauty,TRUE,14.47,Referral,UPI,high_value,test,Other,59,Hyderabad,Silver,,,TRUE
user_1,session_29886,04/03/24 01:41,checkout,prod_71,,Desktop,Organic,05/04/23,228,Beauty,TRUE,14.47,Referral,UPI,high_value,test,Other,59,Hyderabad,Silver,,,TRUE
user_1,session_29886,04/03/24 01:52,feature_used,feature_7,,Desktop,Organic,05/04/23,228,,TRUE,14.47,Referral,UPI,high_value,test,Other,59,Hyderabad,Silver,,,TRUE
user_2,session_30009,12/07/23 00:00,login,,,Desktop,Email,09/07/23,2958,,,38.21,Email,,returning,control,Male,48,Mumbai,Platinum,,,
user_2,session_30009,12/07/23 00:31,home,prod_30,,Desktop,Email,09/07/23,2958,Books,TRUE,38.21,Email,Credit Card,returning,control,Male,48,Mumbai,Platinum,,,FALSE
user_2,session_30009,12/07/23 01:23,view_product,prod_47,,Desktop,Email,09/07/23,2958,Home,TRUE,38.21,Email,Credit Card,returning,control,Male,48,Mumbai,Platinum,,,TRUE
user_2,session_30009,12/07/23 01:53,purchase,prod_95,965.52,Desktop,Email,09/07/23,2958,Beauty,FALSE,38.21,Email,UPI,returning,control,Male,48,Mumbai,Platinum,1.6,Poor,FALSE
user_2,session_30009,12/07/23 02:07,feature_used,feature_7,965.52,Desktop,Email,09/07/23,2958,,FALSE,38.21,Email,UPI,returning,control,Male,48,Mumbai,Platinum,1.6,Poor,FALSE
user_2,session_30009,12/07/23 02:44,feature_reused,feature_7,965.52,Desktop,Email,09/07/23,2958,,FALSE,38.21,Email,UPI,returning,control,Male,48,Mumbai,Platinum,1.6,Poor,FALSE
user_3,session_44863,16/12/23 00:00,login,,,Mobile,Email,29/03/23,209,,,32.58,Social,,high_value,control,Male,24,Hyderabad,Silver,,,
user_3,session_44863,16/12/23 00:08,home,prod_6,,Mobile,Email,29/03/23,209,Clothing,TRUE,32.58,Social,Net Banking,high_value,control,Male,24,Hyderabad,Silver,,,FALSE
user_3,session_44863,16/12/23 00:11,add_to_cart,prod_52,,Mobile,Email,29/03/23,209,Books,FALSE,32.58,Social,Credit Card,high_value,control,Male,24,Hyderabad,Silver,,,TRUE
user_3,session_44863,16/12/23 00:55,checkout,prod_99,,Mobile,Email,29/03/23,209,Beauty,FALSE,32.58,Social,Credit Card,high_value,control,Male,24,Hyderabad,Silver,,,FALSE
